Date,POR,VW,BMW,Vol_POR,Vol_VW,Vol_BMW
2020-01-17,56.93415832519531,162.0517120361328,59.71660614013672,360358.0,988847.0,2112839.0
2020-01-20,57.11906051635742,162.64146423339844,60.20402908325195,224115.0,422072.0,837922.0
2020-01-21,57.08544158935547,161.9981231689453,60.0107421875,313782.0,649325.0,888947.0
2020-01-22,56.36262893676758,160.06808471679688,59.624168395996094,444916.0,1049016.0,1755064.0
2020-01-23,55.92557907104492,157.78062438964844,58.565311431884766,397798.0,837482.0,1472242.0
2020-01-24,55.959205627441406,158.62054443359375,58.33000183105469,284158.0,895854.0,1281775.0
2020-01-27,53.97566604614258,153.36654663085938,56.892967224121094,681563.0,1356742.0,1828640.0
2020-01-28,53.99247360229492,154.0992431640625,56.15345001220703,402230.0,985026.0,2112085.0
2020-01-29,53.471378326416016,151.8296661376953,55.92655563354492,374417.0,907400.0,1456090.0
2020-01-30,52.04256057739258,146.53993225097656,55.09458541870117,720376.0,1649026.0,1995833.0
2020-01-31,51.386985778808594,145.0924072265625,54.06932830810547,480588.0,1425734.0,2069682.0
2020-02-03,51.824039459228516,145.4676971435547,54.10294723510742,438275.0,858700.0,1818370.0
2020-02-04,53.101566314697266,149.29202270507812,54.58195495605469,590800.0,1113395.0,1938049.0
2020-02-05,54.042903900146484,152.47300720214844,55.649227142333984,480546.0,1263246.0,2017296.0
2020-02-06,54.17738342285156,152.25856018066406,55.74167251586914,289049.0,773462.0,1618304.0
2020-02-07,53.35371017456055,148.70230102539062,54.36346435546875,416663.0,1250212.0,2438775.0
2020-02-10,52.563655853271484,146.87948608398438,53.623939514160156,314793.0,777603.0,1969048.0
2020-02-11,53.286476135253906,149.6136932373047,54.1281623840332,378399.0,1067927.0,2075594.0
2020-02-12,55.16914749145508,154.70684814453125,56.36354064941406,508854.0,1101434.0,2590748.0
2020-02-13,55.40447998046875,154.1707305908203,55.96015930175781,497429.0,948791.0,1643472.0
2020-02-14,54.63124084472656,152.3121795654297,55.34669876098633,404382.0,798452.0,1456966.0
2020-02-17,55.00105285644531,154.15286254882812,55.8929328918457,320063.0,724621.0,1298707.0
2020-02-18,54.126949310302734,151.32928466796875,54.792049407958984,368387.0,725402.0,1359236.0
2020-02-19,54.61443328857422,152.0083770751953,55.002140045166016,277717.0,564040.0,1326708.0
2020-02-20,53.92523956298828,151.40077209472656,54.88449478149414,444836.0,796069.0,1793835.0
2020-02-21,53.303279876708984,148.34487915039062,54.21220016479492,446624.0,1325162.0,2005662.0
2020-02-24,50.277549743652344,140.28518676757812,51.632266998291016,916685.0,2141019.0,3729450.0
2020-02-25,49.57154846191406,138.7661590576172,51.28771209716797,596708.0,1386340.0,2409281.0
2020-02-26,49.73964309692383,139.0878448486328,51.917991638183594,702852.0,1858288.0,3322283.0
2020-02-27,47.90739822387695,132.97605895996094,50.28767395019531,842430.0,2502014.0,3225348.0
2020-02-28,47.30224609375,132.7615966796875,49.5229377746582,1488423.0,3739464.0,5834942.0
2020-03-02,47.2518196105957,133.708740234375,48.741397857666016,860977.0,2635031.0,3315364.0
2020-03-03,47.70568084716797,136.80038452148438,48.53970718383789,672791.0,2509384.0,4135929.0
2020-03-04,48.495731353759766,138.17642211914062,49.22040557861328,732935.0,1623774.0,2320426.0
2020-03-05,47.31905746459961,134.47718811035156,48.80022048950195,516670.0,1390939.0,2447364.0
2020-03-06,45.9911003112793,131.5285186767578,48.08591079711914,606864.0,1797998.0,3189387.0
2020-03-09,41.6794319152832,117.69657897949219,42.87561798095703,1192508.0,3019401.0,5395201.0
2020-03-10,41.435691833496094,117.55361938476562,42.2957649230957,774356.0,2754193.0,4299614.0
2020-03-11,41.049072265625,118.30418395996094,42.5646858215332,863197.0,1935512.0,3245931.0
2020-03-12,34.01424789428711,100.3083724975586,37.043460845947266,1670355.0,3739053.0,6712618.0
2020-03-13,33.341861724853516,99.07528686523438,38.169551849365234,1342639.0,3623209.0,6324387.0
2020-03-16,30.4758243560791,87.021484375,33.690391540527344,1943291.0,3396563.0,6612181.0
2020-03-17,29.95472526550293,88.53156280517578,33.913089752197266,1208604.0,2333167.0,3975016.0
2020-03-18,25.48337173461914,77.91635131835938,32.88783264160156,1826395.0,2663082.0,4654563.0
2020-03-19,25.441347122192383,78.48821258544922,31.64829444885254,1756704.0,2930561.0,4697097.0
2020-03-20,28.32419776916504,84.10855865478516,34.76606369018555,1653178.0,2942438.0,6491031.0
2020-03-23,27.281999588012695,82.4287109375,33.446678161621094,1063828.0,2139740.0,4318784.0
2020-03-24,31.81218910217285,98.12814331054688,38.287208557128906,1382900.0,2757178.0,4628692.0
2020-03-25,33.28302764892578,102.6494369506836,39.2872428894043,1354520.0,2539388.0,3669902.0
2020-03-26,34.283203125,101.59506225585938,39.749446868896484,782546.0,1821000.0,2612333.0
2020-03-27,31.87102508544922,94.19657897949219,38.249393463134766,715573.0,1895034.0,2554659.0
2020-03-30,31.568450927734375,93.83917236328125,38.43006896972656,899109.0,1153040.0,2283311.0
2020-03-31,32.509788513183594,95.46540069580078,39.5939826965332,760352.0,1645173.0,2546075.0
2020-04-01,30.896068572998047,88.4600830078125,37.299774169921875,765044.0,1924010.0,2362849.0
2020-04-02,30.795207977294922,88.30818176269531,37.70315170288086,762299.0,1471817.0,2633606.0
2020-04-03,29.786630630493164,88.3796615600586,37.606510162353516,694944.0,1452204.0,4331430.0
2020-04-06,33.871368408203125,100.93384552001953,40.80831527709961,1207039.0,2662255.0,2883526.0
2020-04-07,34.963993072509766,103.98973083496094,41.77893829345703,1085734.0,2370969.0,2625937.0
2020-04-08,35.74563980102539,105.56236267089844,41.312538146972656,947140.0,1386924.0,2262731.0
2020-04-09,37.19126892089844,109.4939193725586,42.70754623413086,856556.0,2150761.0,2485969.0
2020-04-10,37.19126892089844,109.4939193725586,42.70754623413086,856556.0,2150761.0,2485969.0
2020-04-13,37.19126892089844,109.4939193725586,42.70754623413086,856556.0,2150761.0,2485969.0
2020-04-14,37.37617111206055,110.03004455566406,43.16135025024414,636982.0,1447387.0,1909198.0
2020-04-15,35.434661865234375,103.82890319824219,40.833526611328125,950593.0,1630309.0,2469060.0
2020-04-16,35.22454071044922,104.66883087158203,41.45960235595703,858772.0,1596486.0,2335152.0
2020-04-17,36.712188720703125,111.33460998535156,43.62355041503906,843865.0,2322531.0,3906817.0
2020-04-20,36.69538497924805,111.45970153808594,43.16975021362305,524974.0,1362190.0,2159543.0
2020-04-21,34.41767883300781,104.09696197509766,40.80831527709961,689031.0,1745515.0,1857083.0
2020-04-22,35.064849853515625,106.13422393798828,41.19068145751953,491909.0,1053513.0,1533538.0
2020-04-23,36.149070739746094,107.88555145263672,42.24534606933594,475772.0,1032621.0,1688589.0
2020-04-24,35.46828079223633,104.86540985107422,40.89234924316406,406234.0,1096882.0,1669671.0
2020-04-27,36.586116790771484,109.83346557617188,43.02688980102539,362740.0,926361.0,1828072.0
